order_id,invoice_no,gross,order_date,customer_id,sku
ORD_03C7A31F145A,INV-B-11-000032,5983.38,2026-09-11,CUST-PROFILE_B-00044,SKU-BP-BEVERAGE
ORD_0542092D7156,INV-C-11-000024,23894.12,2026-09-11,CUST-PROFILE_C-00185,SKU-CW-PANEL
ORD_067FAD429A51,INV-B-11-000016,"7,989.64",2026-09-11,CUST-PROFILE_B-00109,SKU-BP-BEVERAGE
ORD_06C0C6844222,INV-A-11-000002,9083.74,2026-09-11,CUST-PROFILE_A-00068,SKU-AR-TABLEWARE
ORD_06C52BF902BA,INV-A-11-000078,18642.20,2026-09-11,CUST-PROFILE_A-00199,SKU-AR-KITCHEN
ORD_07564275248D,INV-C-11-000066,53046.41,2026-09-11,CUST-PROFILE_C-00168,SKU-CW-PANEL
ORD_0834F2EBBE3D,INV-A-11-000062,7579.50,2026-09-11,CUST-PROFILE_A-00104,SKU-AR-DECOR
ORD_083EDD38B0BC,INV-A-11-000025,21134.40,2026-09-11,CUST-PROFILE_A-00496,SKU-AR-KITCHEN
ORD_096872C3D249,INV-B-11-000080,1052.53,2026-09-11,CUST-PROFILE_B-00078,SKU-BP-MEAL
ORD_09CC0AC65DD3,INV-C-11-000068,37966.27,2026-09-11,CUST-PROFILE_C-00126,SKU-CW-INVERTER
ORD_09D2A8E963B4,INV-A-11-000077,15795.33,2026-09-11,CUST-PROFILE_A-00765,SKU-AR-KITCHEN
ORD_0C1A0D617E30,INV-B-11-000020,5386.82,2026-09-11,CUST-PROFILE_B-00744,SKU-BP-BEVERAGE
ORD_0CA1B925CA9A,INV-C-11-000014,34300.90,2026-09-11,CUST-PROFILE_C-00292,SKU-CW-PANEL
ORD_0CAF9D8B0415,INV-C-11-000037,39186.54,2026-09-11,CUST-PROFILE_C-00350,SKU-CW-CABLE
ORD_11BA0B400C82,INV-B-11-000014,359.45,2026-09-11,CUST-PROFILE_B-00767,SKU-BP-BEVERAGE
ORD_12C12BCCDEA5,INV-C-11-000055,51456.55,2026-09-11,CUST-PROFILE_C-00196,SKU-CW-MOUNT
ORD_140E7545DB59,INV-C-11-000073,20963.22,2026-09-11,CUST-PROFILE_C-00297,SKU-CW-CABLE
ORD_1598CF343E1F,INV-C-11-000082,9850.78,2026-09-11,CUST-PROFILE_C-00093,SKU-CW-CABLE
ORD_15A3EE2CB9DD,INV-C-11-000011,47279.67,2026-09-11,CUST-PROFILE_C-00174,SKU-CW-MOUNT
ORD_15EDE2E1CAA6,INV-B-11-000069,2322.12,2026-09-11,CUST-PROFILE_B-01258,SKU-BP-DESSERT
ORD_16831B1D02EF,INV-A-11-000075,1160.97,2026-09-11,CUST-PROFILE_A-00875,SKU-AR-TABLEWARE
ORD_17211AE13F07,INV-C-11-000015,47587.41,2026-09-11,CUST-PROFILE_C-00042,SKU-CW-INVERTER
ORD_181D137E54CA,INV-C-11-000012,"37,777.55",2026-09-11,CUST-PROFILE_C-00380,SKU-CW-CABLE
ORD_197770EAAF86,INV-A-11-000067,3362.64,2026-09-11,CUST-PROFILE_A-00053,SKU-AR-DECOR
ORD_1977B4A6886A,INV-A-11-000000,20421.70,2026-09-11,CUST-PROFILE_A-00751,SKU-AR-TABLEWARE
ORD_1A182060DE15,INV-A-11-000008,4813.03,2026-09-11,CUST-PROFILE_A-00773,SKU-AR-LINEN
ORD_1D1363345652,INV-A-11-000045,19451.34,2026-09-11,CUST-PROFILE_A-00526,SKU-AR-KITCHEN
ORD_1D1426FEF3DB,INV-B-11-000008,716.70,2026-09-11,CUST-PROFILE_B-00406,SKU-BP-DESSERT
ORD_1FD26E8F0770,INV-B-11-000082,7856.36,2026-09-11,CUST-PROFILE_B-01304,SKU-BP-DESSERT
ORD_211452E2E74E,INV-C-11-000057,49509.16,2026-09-11,CUST-PROFILE_C-00186,SKU-CW-CABLE
ORD_2164AA8401CD,INV-A-11-000031,19347.89,2026-09-11,CUST-PROFILE_A-00270,SKU-AR-TABLEWARE
ORD_224761F847B0,INV-B-11-000052,7274.16,2026-09-11,CUST-PROFILE_B-01201,SKU-BP-MEAL
ORD_22C025D6BFD1,INV-B-11-000018,2619.36,2026-09-11,CUST-PROFILE_B-00558,SKU-BP-MEAL
ORD_2730EE2BD20F,INV-B-11-000061,3881.08,2026-09-11,CUST-PROFILE_B-00207,SKU-BP-DESSERT
ORD_27A4E2D58F59,INV-B-11-000022,6386.50,2026-09-11,CUST-PROFILE_B-01101,SKU-BP-DESSERT
ORD_286A3F17B19F,INV-C-11-000044,3847.59,2026-09-11,CUST-PROFILE_C-00366,SKU-CW-CABLE
ORD_29E05681CDEF,INV-B-11-000054,3813.59,2026-09-11,CUST-PROFILE_B-00003,SKU-BP-DESSERT
ORD_29FDD9D2BB2E,INV-A-11-000064,24937.40,2026-09-11,CUST-PROFILE_A-00826,SKU-AR-TABLEWARE
ORD_2A71D78E2621,INV-A-11-000043,333.69,2026-09-11,CUST-PROFILE_A-00214,SKU-AR-TABLEWARE
ORD_2B983632B8FF,INV-A-11-000059,17974.68,2026-09-11,CUST-PROFILE_A-00313,SKU-AR-LINEN
ORD_2BFBF467DD4B,INV-A-11-000016,2391.48,2026-09-11,CUST-PROFILE_A-00745,SKU-AR-DECOR
ORD_2C280CC6E751,INV-B-11-000034,5215.76,2026-09-11,CUST-PROFILE_B-00517,SKU-BP-DESSERT
ORD_2CC57DA7FC93,INV-B-11-000053,6630.81,2026-09-11,CUST-PROFILE_B-00481,SKU-BP-BEVERAGE
ORD_2CC57DA7FC93,INV-B-11-000053,6630.81,2026-09-11,CUST-PROFILE_B-00481,SKU-BP-BEVERAGE
ORD_2D696D3FA162,INV-B-11-000064, 4679.78 ,2026-09-11,CUST-PROFILE_B-00620,SKU-BP-BEVERAGE
ORD_2EBEC0FC8AC5,INV-A-11-000024,9143.55,2026-09-11,CUST-PROFILE_A-00254,SKU-AR-KITCHEN
ORD_30537E3D2237,INV-C-11-000043,40833.06,2026-09-11,CUST-PROFILE_C-00030,SKU-CW-MOUNT
ORD_30A0D26F4523,INV-C-11-000048,38940.12,2026-09-11,CUST-PROFILE_C-00251,SKU-CW-INVERTER
ORD_3163E52D7214,INV-C-11-000053,48117.08,2026-09-11,CUST-PROFILE_C-00243,SKU-CW-CABLE
ORD_3332F47C6F96,INV-B-11-000077,1241.66,2026-09-11,CUST-PROFILE_B-00296,SKU-BP-DESSERT
ORD_372BC5B8179F,INV-C-11-000060,54889.76,2026-09-11,CUST-PROFILE_C-00268,SKU-CW-CABLE
ORD_37769B9A6ADF,INV-C-11-000007,23549.26,2026-09-11,CUST-PROFILE_C-00306,SKU-CW-MOUNT
ORD_37C98F3B963F,INV-A-11-000028,3309.77,2026-09-11,CUST-PROFILE_A-00739,SKU-AR-TABLEWARE
ORD_39880F3D102A,INV-A-11-000080,645.02,2026-09-11,CUST-PROFILE_A-00034,SKU-AR-LINEN
ORD_3BBA814BDB57,INV-C-11-000004,58286.04,2026-09-11,CUST-PROFILE_C-00141,SKU-CW-PANEL
ORD_3C306F452171,INV-C-11-000039,28288.03,2026-09-11,CUST-PROFILE_C-00081,SKU-CW-INVERTER
ORD_3D9E4AD260DB,INV-A-11-000014,23682.78,2026-09-11,CUST-PROFILE_A-00267,SKU-AR-LINEN
ORD_3DD60E3EACE0,INV-B-11-000059,615.18,2026-09-11,CUST-PROFILE_B-00863,SKU-BP-MEAL
ORD_3E061A715345,INV-B-11-000023,7612.96,2026-09-11,CUST-PROFILE_B-01323,SKU-BP-DESSERT
ORD_404ED2EBC525,INV-B-11-000002,6934.44,2026-09-11,CUST-PROFILE_B-00643,SKU-BP-MEAL
ORD_40CAC0D16259,INV-A-11-000010,7490.13,2026-09-11,CUST-PROFILE_A-00326,SKU-AR-KITCHEN
ORD_428031CECC5A,INV-A-11-000074,23500.23,2026-09-11,CUST-PROFILE_A-00667,SKU-AR-LINEN
ORD_4301FECD6A0C,INV-A-11-000033,11783.56,2026-09-11,CUST-PROFILE_A-00719,SKU-AR-DECOR
ORD_4385FF057FBF,INV-A-11-000042,17374.60,2026-09-11,CUST-PROFILE_A-00345,SKU-AR-DECOR
ORD_446F28A07B1E,INV-A-11-000023,12271.34,2026-09-11,CUST-PROFILE_A-00382,SKU-AR-LINEN
