refund_id,payment_id,amount,created_at
RFD_030466DDEA5D,PAY_ECC80AB6FBB3,13908.68,2026-09-11
RFD_1176CE5F5BE2,PAY_86EF454F90F4,"1,127.08",2026-09-11
RFD_511E331EEEE6,PAY_08F2FD501AE3,22426.18,2026-09-11
RFD_5428AD5F11B3,PAY_3208D5382AB4, 10283.43 ,2026-09-11
RFD_58CE194B1BCD,PAY_E13A09499860, 53574.59 ,2026-09-11
RFD_5AE5A5A7AF63,PAY_4288E9D27BBC,7331.29,2026-09-11
RFD_6AE07F47977A,PAY_4B43E8BD38EA,12699.43,2026-09-11
RFD_76574DBA6251,PAY_00E73DB489E0,11554.66,2026-09-11
RFD_94E570F8F54B,PAY_78CA12ACBC67,15956.47,2026-09-11
RFD_AA33182632DB,PAY_A804684107E4,55745.89,2026-09-11
RFD_C6BA2F095727,PAY_67A84DF67D60,4010.83,2026-09-11
RFD_C6E48A83A5DD,PAY_D537054FFA8D,6435.68,2026-09-11
RFD_CFD7DA4C0AB8,PAY_CC7441A84AEA,"11,973.64",2026-09-11
RFD_DC4C0B6A03A8,PAY_7322B6E02C54,1624.28,2026-09-11
RFD_DFC2E9E188FE,PAY_7E3A67A55750,25590.47,2026-09-11
