payment_id,order_id,method,authorized,captured,status,captured_at
PAY_004222CBFACC,ORD_6DDB48FF86CD,card,16528.10,16528.10,captured,2026-09-15
PAY_00DFBB1007F2,ORD_ACAA6E61BC49,upi,47135.97,47135.97,captured,2026-09-15
PAY_00E46A3A3ABC,ORD_8AFC26329B00,upi,14006.26,14006.26,captured,2026-09-15
PAY_01CCA8E2EC62,ORD_B21607524B4A,netbanking,31747.86,31747.86,captured,2026-09-15
PAY_0583B6EFD09B,ORD_DF7C12050349,upi,2680.75,2680.75,captured,2026-09-15
PAY_06F1664D9E62,ORD_AFA2AE3F6566,upi,12513.54,12513.54,captured,2026-09-15
PAY_0704DECAA6DF,ORD_92B8F447AF6E,card,2521.55,2521.55,captured,2026-09-15
PAY_07D808C6BB69,ORD_327BF012E13E,netbanking,11399.84,11399.84,captured,2026-09-15
PAY_090460F2A6CF,ORD_B46C92CA0D25,upi,5982.83,5982.83,captured,2026-09-15
PAY_09474A2C479C,ORD_167D546DFA07,upi,6854.58,6854.58,captured,2026-09-15
PAY_09A33A254A28,ORD_08C0830294AB,upi,4522.65,4522.65,captured,2026-09-15
PAY_0A2116766585,ORD_156CDAA312F0,upi,5001.48,5001.48,captured,2026-09-15
PAY_0B20B5F44667,ORD_265316BA9B17,upi,765.73,765.73,captured,2026-09-15
PAY_0CA5FCC1DE46,ORD_AF7EDA1EB759,upi,11997.10,11997.10,captured,2026-09-15
PAY_0FA4172E52C1,ORD_D9DEE9E4F104,card,4125.91,"4,125.91",refunded,2026-09-15
PAY_0FC3E76731CA,ORD_21AA5BFAC7D7,card,10510.29,10510.29,captured,2026-09-15
PAY_101191B7D88A,ORD_535230E1D8C4,wallet,19465.65,19465.65,captured,2026-09-15
PAY_112E4E363536,ORD_2B5FB484B76B,wallet,46317.07,46317.07,captured,2026-09-15
PAY_12A05BFE4A86,ORD_F42879BA4BCB,upi,23275.34,23275.34,captured,2026-09-15
PAY_133ACA23330F,ORD_2C4B40A4917E,wallet,24247.00,24247.00,captured,2026-09-15
PAY_1558F75C3035,ORD_85236FDCC335,upi,4891.99,"4,891.99",captured,2026-09-15
PAY_15D37E96AF5D,ORD_1B34E2FDA3BE,card,2142.14,2142.14,captured,2026-09-15
PAY_16265494219D,ORD_EF443BC35A4B,card,3298.23,3298.23,captured,2026-09-15
PAY_166E8BD9C2EB,ORD_50D5783FF704,card,18131.66,18131.66,captured,2026-09-15
PAY_168120E4240A,ORD_F5DBC2512829,wallet,24279.92,24279.92,captured,2026-09-15
PAY_17D7E01C9B7E,ORD_AAEE7D54D4D4,upi,5684.53,2370.23,partial,2026-09-15
PAY_17F72ECF09A6,ORD_4841C2308467,wallet,58411.64,58411.64,captured,2026-09-15
PAY_1897659D999B,ORD_F982D80FA7F8,card,3005.64,3005.64,captured,2026-09-15
PAY_19A190BDBC1E,ORD_19CC106E5053,upi,6646.38,6646.38,captured,2026-09-15
PAY_19C4C5D4F5E2,ORD_8E396CC45C96,netbanking,57738.72,57738.72,refunded,2026-09-15
PAY_19DD160146ED,ORD_C40E0FCD5FEF,upi,3806.91,3806.91,captured,2026-09-15
PAY_1B7CD5CA19AA,ORD_DE90B3449719,netbanking,7401.79,7401.79,captured,2026-09-15
PAY_1CBE3B8AF624,ORD_B3F2F0D28A34,upi,21982.66,21982.66,captured,2026-09-15
PAY_1D21ED97A55B,ORD_AF7144C389C4,netbanking,15942.77,15942.77,captured,2026-09-15
PAY_1DDF7E1F63CD,ORD_2F335FCB2B6A,card,6337.90,6337.90,captured,2026-09-15
PAY_2054EBF99607,ORD_CE59A8DEA04A,upi,433.49,433.49,captured,2026-09-15
PAY_207D04F8EDF9,ORD_7A186956FBFA,netbanking,14357.72,14357.72,captured,2026-09-15
