settlement_id,batch_id,line_type,payment_id,refund_id,gross,fee,tax,net,settled_event_date
SET_29D9706CC137,BAT_488D46B24240,payment,PAY_EBC5157423B1,,5923.23,118.46,21.32,5783.45,2026-09-16
SET_472F09559B4E,BAT_488D46B24240,payment,PAY_B470EDF190EB,,7272.64,0.00,0.00,7272.64,2026-09-16
SET_5939174F85CF,BAT_8C35832FBD31,refund,PAY_FA22E63D307C,RFD_E6D601278288,0.00,0.00,0.00,-12974.21,2026-09-16
SET_8889E269D311,BAT_8C35832FBD31,payment,PAY_27BAF511BE23,,13381.93,0.00,0.00,13381.93,2026-09-16
SET_9DC35D9888C6,BAT_249B0E0FF71D,payment,PAY_60BBC40ACA7B,,2304.15,0.00,0.00,2304.15,2026-09-15
SET_A91AD8936A6C,BAT_249B0E0FF71D,payment,PAY_DC32B177BECE,,7451.06,141.57,25.48,7284.01,2026-09-15
SET_C2D36B1CDC39,BAT_9952F1823E49,payment,PAY_D3DCE3FB553B,,16383.89,294.91,53.08,16035.90,2026-09-16
SET_C3C3AE1BD3FC,BAT_8C35832FBD31,payment,PAY_FDA024A54E11,,7669.06,0.00,0.00,7669.06,2026-09-16
SET_D21AC98BFA5B,BAT_488D46B24240,payment,PAY_F3942F2B05E3,,6237.55,118.51,21.33,6097.71,2026-09-16
SET_D48E4C984D7A,BAT_8C35832FBD31,payment,PAY_9D3349B603BE,,16658.42,0.00,0.00,16658.42,2026-09-16
SET_E880828730FF,BAT_9952F1823E49,payment,PAY_E143B2913C9C,,14737.23,265.27,47.75,14424.21,2026-09-16
